date,KOUN%TOTQ,KOEMPTOTO,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOIMPCONA,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOMSCONGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIAHOTE,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOBSIHAPR,KOBSIBNER,KOBSIBNMR,KOBSIEMAR,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KOCALL.,KOLRLTHH,KOUS$...,KOCNPER.D,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOIPALL.G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIBCEQ,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOEQUIMAE,KOEQUITTE,KOCONPMTH,KOCONSTRP,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOBSIIMPR,KOBSIIMER,KOBFINAAF,KOBUSINVR,KODBLNEQA,KOLRLTCO,KO3YEARC,KOSHRPRCF,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH
1986-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05475585,-0.1,0.007793627,0.1,-0.116244614,0.0
1986-01-31,,-0.285480973,,,0.166201311,,,,,,,,0.900456309,0.626961301,,1.699757637,1.452810056,,,,-1.652930195,1.841672679,2.462504731,,,,0.0,,,,,,,,,,,0.115862437,0.4,,-0.039294716,,-63.01413796,,-41.64481737,1.504234202,-0.10276437,,0.177812948,-1.032838396,,-3.75578007,,0.0,4.115807249,,1.219527309,0.623054975,,,,,9.1,-16.0,-20.0,4.7,,,,,-0.516562964,,,,,-101.0,,20.27115125,8.479653666,,,1.680711832,,16.06823817,,,,,-0.305178333,,0.5,-1.82221911,,,,0.061631785,-0.1,0.031398235,0.1,-0.095351995,0.0
1986-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048058139,0.0,0.055845705,0.1,-0.059647157,0.1
1986-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031970754,0.1,0.063302385,0.1,-0.014552419,0.1
1986-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053400995,0.2,0.14920734,0.2,0.031475055,0.2
1986-02-28,,0.748679173,,,-0.555778272,,,,,,,,0.562822211,0.280855232,,1.394722748,3.774032798,,,,15.41506798,0.0,2.929636949,,,,0.0,,,,,,,,,,,0.577307084,0.6,,-0.465975676,,12.7724711,,4.624139783,0.284439405,-1.679666239,,-0.673403218,-5.369650764,,-7.505438114,,0.0,3.953083876,,0.604231446,1.234583582,,,,,-3.0,11.0,10.0,3.4,,,,,0.217544623,,,,,75.40849777,,-5.6618894,19.84509387,,,0.829880281,,-5.623971832,,,,,0.905586399,,-0.5,9.217712467,,,,0.075315268,0.2,0.14229366,0.2,0.037128345,0.2
1986-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070138434,0.2,0.16474801,0.2,0.147444501,0.1
1986-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034369034,0.1,0.100144438,0.2,0.178498534,0.2
1986-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06218015,0.1,0.104005948,0.1,0.114105796,0.2
1986-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047369074,0.1,0.120355965,0.2,0.097974465,0.2
