Model,SeriesID,SeriesName,Frequency,Block-Global,Block-Consumption,Block-Invstestment,Block-Exprtort,Block-Nominal,Block-Labor,Block-riskapp,Transformation,Units,Category,Release,note,"Model Production","Model Investment","Model Consumption",구분,데이터이름
1,KOBFDSAAF,"FKI, Domestic Demand, All Industries, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,1,0,0,기업경기,내수 실적(전산업)
1,KOBFXSAAF,"FKI, Export, All Industries, Actual",m,1,0,0,1,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,수출 실적(전산업)
1,KOBFINAAF,"FKI, Investment, All Industries, Actual",m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,1,0,기업경기,투자 실적(전산업)
1,KOBSIEMAR,"FKI, Employment, All Industries, Actual",m,1,0,0,0,0,1,0,chg,Index,"Survey, Bsnss",-5,,0,0,1,기업경기,고용 실적(전산업)
1,KOBFPRAAF,"FKI, Profitability, All Industries, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,수익성 실적(전산업)
1,KOBSIBCEQ,"FKI, Business Conditions, All Industries, Prospects, SA",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-35,,1,0,0,기업경기,"경기전망(전산업, 계절조정)"
1,KOBUSINVR,"FKI, Investment, All Industries, Prospects",m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",-35,,0,1,0,기업경기,투자 전망(전산업)
0,pmiall,PMI,m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",3,,1,0,0,기업경기,제조업 PMI 지수
0,pmiout,Output/Activity,m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",3,,1,0,0,기업경기,제조업 PMI 생산
0,pmioir,Orders to Inventories Ratio,m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",3,,0,0,0,기업경기,제조업 PMI 주문/재고비율
1,KOCNFCONR,"CSI, Composite Consumer Sentiment Index, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,1,1,1,소비자동향,소비자심리지수(종합)
1,KOCSHHLMR,"CSI, Living Standard of Household, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,현재 생활형편
1,KOCSHHEMR,"CSI, Expectations of Living Standard of Household, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,BSI와 달리 CSI 전망은 동월,0,0,1,소비자동향,향후 생활형편 전망
1,KOCSPHIMR,"CSI, Expected Change in Total Household Income, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,향후 가계소득 전망
1,KOCSPSPMR,"CSI, Spending Plan, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,소비지출 계획
1,KOCSECDMR,"CSI, Domestic Economic Situation, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,현재 경기판단
1,KOCSECEMR,"CSI, Domestic Economic Situation, Next 6 Months",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,1,0,1,소비자동향,향후 경기전망
1,KOCSEMEMR,"CSI, Expectations of Employment Situation, Total",m,1,1,0,0,0,1,0,chg,Index,"Survey, Cnsmr",-5,,0,1,1,소비자동향,고용상황 전망
1,KOCSEOHSR,"CSI, Expectations of Household Saving, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,가계저축 전망
1,KOCSEOHDR,"CSI, Expectations of Household Debt, Total",m,1,1,0,0,0,0,0,chg,Index,"Survey, Cnsmr",-5,,0,0,1,소비자동향,가계부채 전망
